id,severity,category,issue_title,primary_file_paths,duplicate_file_paths,recommendation,effort_days,estimated_impact
1,HIGH,Docker Compose,16 docker-compose variants with overlapping services,docker-compose.yml,"docker-compose-clean.yml, docker-compose-cluster.yml, docker-compose-fixed.yml, docker-compose-full-deployment.yml, docker-compose-noinit.yml, docker-compose-production.yml, primary_compose_full.yml, docker-compose.yml.backup",Consolidate to single docker-compose.yml; archive 12-14 variants,3,Deployment confusion eliminated
2,HIGH,Configuration,Environment variables defined in 4 separate locations,.env.deployment;.env.infrastructure;.env.cluster;terraform/environments/*/variables.tf,All 4 define overlapping vars (DB_* REDIS_* QDRANT_*),Create scripts/_common/config.env SSOT; update all sourcing,5,Configuration drift eliminated
3,HIGH,Applications,Duplicate app directory: edge-agent vs edge_agent,apps/edge-agent,apps/edge_agent,Verify canonical; delete other; update all imports,2,Import failures prevented
4,HIGH,Applications,Duplicate app directory: reputation-engine vs reputation_engine,apps/reputation-engine,apps/reputation_engine,Verify canonical; delete other; update all imports,2,Code desync prevented
5,HIGH,Terraform,Variables duplicated across 3 locations,terraform/variables.tf,terraform/environments/private/variables.tf;terraform/environments/air-gapped/variables.tf,Single variables.tf with environment overrides in tfvars,3,Environment reproducibility improved
6,HIGH,Terraform,Deployment orchestration as SSH remote-exec (anti-pattern),terraform/environments/private/deployment.tf,,Move SSH commands to scripts/ops/; keep terraform for IaC only,4,IaC purity restored
7,HIGH,Infrastructure as Code,Database migrations not versioned in code,setup scripts scattered,configure-postgres-ssl.sh;setup-database-ssl.sh,Move to terraform provisioner or Helm init container,8,Non-reproducible deployments fixed
8,HIGH,Infrastructure as Code,SSL/TLS setup as manual shell scripts,scripts/ops/configure-postgres-ssl.sh,scripts/ops/setup-database-ssl.sh,Add to terraform (acme_certificate + k8s secret),6,Manual configuration eliminated
9,HIGH,Infrastructure as Code,Network policies defined manually (not auto-enforced),kubernetes/network-policies/code-server-netpol.yaml,,Move to terraform/modules/security/network_policies.tf,3,Drift risk eliminated
10,HIGH,Infrastructure as Code,RBAC defined manually (not auto-enforced),kubernetes/rbac/code-server-rbac.yaml,,Move to terraform/modules/security/rbac.tf,3,Drift risk eliminated
11,MEDIUM,Helm,Overlapping resource definitions (Helm + config file),helm/code-server-enterprise/values.yaml,config/resource-limits.yaml,Consolidate resource-limits.yaml into Helm values,2,Provisioning inconsistency fixed
12,MEDIUM,Helm,Duplicate prod values files with inconsistent naming,helm/code-server-enterprise/values-prod.yaml,helm/code-server-enterprise/values.prod.yaml,Delete values.prod.yaml (keep values-prod.yaml),1,Naming confusion eliminated
13,MEDIUM,Configuration,Alert configs scattered across 3 locations,config/alert-rules.yml,monitoring/alertmanager.yml;monitoring/alerts/prometheus-rules.yaml,Consolidate to config/monitoring/; single source,2,Missed alerts prevented
14,MEDIUM,Configuration,Otel collector config duplicated,config/otel-collector.yaml,config/otel-collector.config.yaml,Verify which is used; delete duplicate or document difference,1,Configuration confusion eliminated
15,MEDIUM,Configuration,Tempo config duplicated,config/tempo.yaml,config/tempo.config.yaml,Verify which is used; delete duplicate or document difference,1,Configuration confusion eliminated
16,MEDIUM,Configuration,Kafka configs scattered,config/kafka-topics.yaml,config/redpanda.yaml;docker-compose.redpanda.yml,Consolidate to config/message-broker/,2,Configuration drift prevented
17,MEDIUM,Scripts,wait_for_healthy_services function duplicated,scripts/_common/init.sh,"scripts/ops/deploy-idempotent.sh, scripts/ops/rollback-idempotent.sh, scripts/ops/automated-rollback.sh",Move to scripts/_common/init.sh; update all callers,3,Retry logic standardized
18,MEDIUM,Scripts,wait_for_* functions with inconsistent retry logic,scripts/test-e2e-load.sh;tests/chaos/chaos-test.sh,Multiple implementations across 5 scripts,Create scripts/_common/health-checks.sh; consolidate logic,3,Retry behavior standardized
19,MEDIUM,Scripts,log_info/log_error functions duplicated in 24 scripts,scripts/_common/init.sh (attempted),24 local implementations,Document customizations; create sharable version in init.sh,5,Logging consistency improved
20,MEDIUM,CI/CD,Pre-deployment validation duplicated (full + simple versions),scripts/ci/pre-deployment-validation.sh,scripts/ci/pre-deployment-validation-simple.sh,Document which is authoritative; archive other or use for quick feedback,1,CI clarity improved
21,MEDIUM,CI/CD,Drift detection workflow duplicated,scripts/ci/drift-detection.yml,scripts/ci/gitops-drift-detection.yml,.github/workflows,Consolidate drift detection workflow,2,CI maintainability improved
22,MEDIUM,Documentation,Deployment manifest filename duplicated,DEPLOYMENT-MANIFEST.md,DEPLOYMENT_MANIFEST.md,Standardize on DEPLOYMENT_MANIFEST.md; delete other (both exist!),1,Documentation confusion eliminated
23,MEDIUM,Documentation,Scoping documentation scattered across 5 files,SCOPING.md (merged),DEPLOYMENT_SCOPING.md;SCOPING_IMPLEMENTATION.md;SCOPING_IMPLEMENTATION_COMPLETE.md;SCOPING_QUICK_REFERENCE.md;SCOPING_SUMMARY.md,Merge 5 files into single SCOPING.md; archive others,3,Documentation clarity improved
24,MEDIUM,Documentation,Deployment status scattered across 3 files,DEPLOYMENT_STATUS.md,DEPLOYMENT_COMPLETE.txt;FINAL-DEPLOYMENT-STATUS.txt,Keep only current status; archive dated versions,1,Status clarity improved
25,MEDIUM,Testing,Test locations scattered across workspace,tests/,apps/*/tests/;scripts/test-*;.github/workflows/*test*,Create tests/README.md; document test hierarchy; create ci/test-orchestrator.sh,4,Test discoverability improved
26,MEDIUM,Shared Libraries,Configuration loading duplicated in 50+ os.getenv() calls,apps/*/,Each app implements own config loading,Create apps/_shared/python/config.py; migrate apps gradually,8,Code duplication reduced
27,MEDIUM,Shared Libraries,OAuth2 patterns duplicated,apps/auth-server/src/oauth2_server.py,5+ implementations across services,Create apps/_shared/python/auth.py; consolidate patterns,5,Auth consistency improved
28,MEDIUM,Testing,Idempotency checks duplicated,scripts/ci/check-docker-compose-idempotency.sh,verify-docker-compose-idempotency.sh in backups,Consolidate to single implementation,1,Test clarity improved
29,LOW,Docker,Base image versions inconsistent,apps/*/Dockerfile,3 different Python slim SHA256s,Standardize on single base image version,2,Build reproducibility improved
30,LOW,Package Structure,No apps/_shared directory,apps/,monorepo suboptimized,Create apps/_shared/ structure; centralize utilities,5,Monorepo optimization
31,LOW,Documentation,Phase documentation should be archived,docs/archive/,PHASES-1-14-COMPLETION-SUMMARY.md;PHASES-1-15-FINAL-COMPLETION-SUMMARY.md;PHASE15-*;K8S-MIGRATION-*;ISSUE-1537-*,Move 20+ files to docs/archive/; keep only active docs,2,Documentation cleanliness
32,LOW,Database,Postgres init scripts embedded in multiple places,setup-*.sh,configure-postgres-ssl.sh;setup-database-ssl.sh,Centralize to terraform provisioner or migrations/,3,Schema auditability improved
33,LOW,Health Checks,Service-specific healthchecks duplicated,scripts/_common/health-checks.sh (new),qdrant;redpanda;opa;postgres helpers,Create service-specific functions in health-checks.sh,2,Maintenance burden reduced
34,LOW,Archives,Backup files in root directory,.,backups/;docs/archive/,Move .backups/ to docs/archive/; clean root,1,Workspace cleanliness
35,LOW,Ephemeral Resources,Backup strategy not documented,docs/architecture/resource-classification.md,No classification of ephemeral vs persistent,Create resource classification doc; backup policy per resource,3,Data loss risk mitigation
36,LOW,CI/CD,15+ GitHub workflows with overlapping concerns,.github/workflows/,Multiple test/validation/drift workflows,Document workflow hierarchy; consolidate overlaps,4,Workflow maintainability
37,LOW,Secrets,No centralized secret management visible,terraform/,Hardcoded defaults in code;scattered .env files,Implement GSM (Google Secrets Manager) in terraform,8,Security posture improved
38,LOW,Testing,No test result aggregation visible,tests/,Separate test result folders,Create test artifact archival strategy; central reporting,3,Test visibility improved
39,LOW,Kubernetes,Helm integration could be optimized,helm/code-server-enterprise/,Many manual K8s yaml files,Increase helm template coverage; reduce manual manifests,8,Kubernetes reproducibility improved
40,LOW,Documentation,GitOps workflow documentation scattered,docs/,Multiple workflow docs,Consolidate GitOps documentation,2,Documentation clarity
